basic,parallel
6.800000000000000000e+01,6.100000000000000000e+01
7.700000000000000000e+01,6.100000000000000000e+01
7.900000000000000000e+01,6.200000000000000000e+01
1.670000000000000000e+02,1.480000000000000000e+02
3.230000000000000000e+02,3.020000000000000000e+02
6.510000000000000000e+02,6.260000000000000000e+02
1.206000000000000000e+03,1.174000000000000000e+03
2.241000000000000000e+03,2.200000000000000000e+03
4.201000000000000000e+03,4.146000000000000000e+03
7.491000000000000000e+03,7.418000000000000000e+03
9.999000000000000000e+03,9.999000000000000000e+03
0.000000000000000000e+00,9.999000000000000000e+03
0.000000000000000000e+00,9.999000000000000000e+03
0.000000000000000000e+00,9.999000000000000000e+03
0.000000000000000000e+00,9.999000000000000000e+03
0.000000000000000000e+00,9.999000000000000000e+03
